Species	Lifestyle	Genus	Order	Dataset	value
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Clinical	Trichosporon	Trichosporonales	S_genome	0.7238513
Trichosporon_asahii_N5_275_008G1	Clinical	Trichosporon	Trichosporonales	S_genome	0.661314874
Trichosporon_faecale_JCM_2941	Clinical	Trichosporon	Trichosporonales	S_genome	0.655809919
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Clinical	Trichosporon	Trichosporonales	S_genome	0.590517097
Cryptococcus_amylolentus_CBS_6039	Environmental	Cryptococcus	Tremellales	S_carbs_norm	1.12829538
Cryptococcus_deneoformans_JEC21	Clinical	Cryptococcus	Tremellales	S_carbs_norm	1.032208641
Cryptococcus_floricola_DSM_27421	Environmental	Cryptococcus	Tremellales	S_carbs_norm	1.144545367
Cryptococcus_gattii_WM276	Clinical	Cryptococcus	Tremellales	S_carbs_norm	1.065918335
Cutaneotrichosporon_arboriformis_JCM_14201	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.303137356
Cutaneotrichosporon_curvatus_JCM_1532	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.073643627
Cutaneotrichosporon_cutaneum_JCM_1462	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.311237537
Cutaneotrichosporon_cyanovorans_JCM_31833	Environmental	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.17423843
Cutaneotrichosporon_daszewskae_JCM_11166	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.189028371
Cutaneotrichosporon_dermatis_ATCC_204094	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.165074704
Cutaneotrichosporon_dermatis_JCM_11170	Clinical	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.150825564
Cutaneotrichosporon_oleaginosum_ATCC_20509_reseq	Environmental	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.316268609
Cutaneotrichosporon_oleaginosus_ATCC_20508	Environmental	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.287880707
Cutaneotrichosporon_oleaginosus_IBC0246	Environmental	Cutaneotrichosporon	Trichosporonales	S_carbs_norm	1.333464867
Trichosporon_asahii_ATCC_201110	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.151020875
Trichosporon_asahii_CBS_8904	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.150945693
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.111539929
Trichosporon_asahii_N5_275_008G1	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.202851985
Trichosporon_faecale_JCM_2941	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.13834225
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Clinical	Trichosporon	Trichosporonales	S_carbs_norm	1.228463862
Cryptococcus_amylolentus_CBS_6039	Environmental	Cryptococcus	Tremellales	S_lipids_norm	1.009320596
Cryptococcus_deneoformans_JEC21	Clinical	Cryptococcus	Tremellales	S_lipids_norm	0.987426322
Cryptococcus_floricola_DSM_27421	Environmental	Cryptococcus	Tremellales	S_lipids_norm	0.99485044
Cryptococcus_gattii_WM276	Clinical	Cryptococcus	Tremellales	S_lipids_norm	1.062476745
Cutaneotrichosporon_arboriformis_JCM_14201	Clinical	Cutaneotrichosporon	Trichosporonales	S_lipids_norm	1.283314259
