sample	Minutes	Temperature	Lifestyle	Identification	OD_avg	Genus
TS-001	870	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00487499999999999	Apiotrichum
TS-001	870	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	900	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00475	Apiotrichum
TS-001	900	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	930	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00462499999999999	Apiotrichum
TS-001	930	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	960	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00462499999999999	Apiotrichum
TS-001	960	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	990	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	990	37 °C	Environmental	Apiotrichum akiyoshidainum	0.000125000000000014	Apiotrichum
TS-001	1020	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0045	Apiotrichum
TS-001	1020	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1050	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00475	Apiotrichum
TS-001	1050	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1080	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0045	Apiotrichum
TS-001	1080	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1110	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00412499999999999	Apiotrichum
TS-001	1110	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1140	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00437499999999999	Apiotrichum
TS-001	1140	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1170	33 °C	Environmental	Apiotrichum akiyoshidainum	0.00425	Apiotrichum
TS-001	1170	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
TS-001	1200	33 °C	Environmental	Apiotrichum akiyoshidainum	0.0045	Apiotrichum
TS-001	1200	37 °C	Environmental	Apiotrichum akiyoshidainum	0	Apiotrichum
