id	Name	Genus	Species	Strain	Genus_species	Order	Substrate	Lifestyle	One_strain_per_species
Pascua_guehoae_Phaff_60_59	Pascua sp. Phaff 60-59	Pascua	guehoae	Phaff 60	Pascua guehoae	Trichosporonales	Plant	Saprotrophic	Yes
Prillingera_fragicola_JCM_1530	Prillingera fragicola JCM 1530	Prillingera	fragicola	JCM 1530	Prillingera fragicola	Trichosporonales	Plant	Saprotrophic	Yes
Takashimella_koratensis_JCM_12878	Takashimella koratensis JCM 12878	Takashimella	koratensis	JCM 12878	Takashimella koratensis	Trichosporonales	Plant	Saprotrophic	Yes
Takashimella_tepidaria_JCM_11965	Takashimella tepidaria JCM 11965	Takashimella	tepidaria	JCM 11965	Takashimella tepidaria	Trichosporonales	Water	Saprotrophic	Yes
Trichosporon_asahii_ATCC_201110	Trichosporon asahii ATCC 201110	Trichosporon	asahii	ATCC 201110	Trichosporon asahii	Trichosporonales	Human	Opportunistic pathogen	Yes
Trichosporon_asahii_CBS_8904	Trichosporon asahii CBS 8904	Trichosporon	asahii	CBS 8904	Trichosporon asahii	Trichosporonales	Human	Opportunistic pathogen	No
Trichosporon_asahii_JCM_2466_CBS_2479_reseq	Trichosporon asahii JCM 2466	Trichosporon	asahii	JCM 2466	Trichosporon asahii	Trichosporonales	Human	Opportunistic pathogen	No
Trichosporon_asahii_N5_275_008G1	Trichosporon asahii N5_275_008G1	Trichosporon	asahii	N5 275	Trichosporon asahii	Trichosporonales	Human	Opportunistic pathogen	No
Trichosporon_faecale_JCM_2941	Trichosporon faecale JCM 2941	Trichosporon	faecale	JCM 2941	Trichosporon faecale	Trichosporonales	Human	Opportunistic pathogen	Yes
Trichosporon_inkin_JCM_9195_ATCC_18020_reseq	Trichosporon inkin JCM 9195	Trichosporon	inkin	JCM 9195	Trichosporon inkin	Trichosporonales	Human	Opportunistic pathogen	Yes
Vanrija_humicola_ATCC_9949	Vanrija sp. ATCC 9949	Vanrija	sp.	ATCC 9949	Vanrija sp.	Trichosporonales		Saprotrophic	Yes
Vanrija_humicola_CBS_4282	Vanrija humicola CBS 4282	Vanrija	humicola	CBS 4282	Vanrija humicola	Trichosporonales	Water	Saprotrophic	No
Vanrija_humicola_JCM_1457	Vanrija humicola JCM 1457	Vanrija	humicola	JCM 1457	Vanrija humicola	Trichosporonales	Soil	Saprotrophic	Yes
Vanrija_humicola_UJ1	Vanrija humicola UJ1	Vanrija	humicola	UJ1 	Vanrija humicola	Trichosporonales	Soil	Saprotrophic	No
Vanrija_pseudolonga_DUCC4014	Vanrija pseudolonga DUCC4014	Vanrija	pseudolonga	DUCC4014 	Vanrija pseudolonga	Trichosporonales	Fungus	Saprotrophic	Yes
