sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-012	28 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.931125	0.880375	1.027375	Cutaneotrichosporon	Clinical
TS-012	28 °C	T6	6	PD	Cutaneotrichosporon dermatis	1.081	0.9085	1.2325	Cutaneotrichosporon	Clinical
TS-012	28 °C	T7	7	PD	Cutaneotrichosporon dermatis	1.1303125	1.0043125	1.2993125	Cutaneotrichosporon	Clinical
TS-012	33 °C	T0	0	PD	Cutaneotrichosporon dermatis	0.0009375	-0.0015625	0.0034375	Cutaneotrichosporon	Clinical
TS-012	33 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.0881875	0.0801875	0.0971875	Cutaneotrichosporon	Clinical
TS-012	33 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.2413125	0.2055625	0.2765625	Cutaneotrichosporon	Clinical
TS-012	33 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.2895	0.22975	0.37375	Cutaneotrichosporon	Clinical
TS-012	33 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.47925	0.33125	0.77125	Cutaneotrichosporon	Clinical
TS-012	33 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.61325	0.39925	0.90825	Cutaneotrichosporon	Clinical
TS-012	33 °C	T6	6	PD	Cutaneotrichosporon dermatis	0.5870625	0.3935625	0.9105625	Cutaneotrichosporon	Clinical
TS-012	33 °C	T7	7	PD	Cutaneotrichosporon dermatis	0.7149375	0.4614375	1.0084375	Cutaneotrichosporon	Clinical
TS-012	37 °C	T0	0	PD	Cutaneotrichosporon dermatis	0	-0.0063125	0.0076875	Cutaneotrichosporon	Clinical
TS-012	37 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.0390625	0.0205625	0.0555625	Cutaneotrichosporon	Clinical
TS-012	37 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.0951875	0.0359375	0.1389375	Cutaneotrichosporon	Clinical
TS-012	37 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.1385625	0.0855625	0.1935625	Cutaneotrichosporon	Clinical
TS-012	37 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.1639375	0.1169375	0.2319375	Cutaneotrichosporon	Clinical
TS-012	37 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.1980625	0.1403125	0.2573125	Cutaneotrichosporon	Clinical
TS-012	37 °C	T6	6	PD	Cutaneotrichosporon dermatis	0.2405625	0.1833125	0.3143125	Cutaneotrichosporon	Clinical
TS-012	37 °C	T7	7	PD	Cutaneotrichosporon dermatis	0.259125	0.195875	0.346875	Cutaneotrichosporon	Clinical
TS-015	18 °C	T0	0	PD	Vanrija humicola	0.00825	0.0045	0.0105	Vanrija	Environmental
TS-015	18 °C	T1	1	PD	Vanrija humicola	0.005875	-0.001875	0.011125	Vanrija	Environmental
TS-015	18 °C	T2	2	PD	Vanrija humicola	0.1660625	0.1130625	0.1950625	Vanrija	Environmental
TS-015	18 °C	T3	3	PD	Vanrija humicola	0.618875	0.359875	0.723875	Vanrija	Environmental
TS-015	18 °C	T4	4	PD	Vanrija humicola	0.803125	0.451375	0.932375	Vanrija	Environmental
TS-015	18 °C	T5	5	PD	Vanrija humicola	0.9159375	0.5334375	1.0514375	Vanrija	Environmental
TS-015	18 °C	T6	6	PD	Vanrija humicola	0.992125	0.617125	1.128125	Vanrija	Environmental
TS-015	18 °C	T7	7	PD	Vanrija humicola	1.0395	0.685	1.175	Vanrija	Environmental
TS-015	23 °C	T0	0	PD	Vanrija humicola	0.0105625	0.0100625	0.0110625	Vanrija	Environmental
TS-015	23 °C	T1	1	PD	Vanrija humicola	0.065125	0.058625	0.070625	Vanrija	Environmental
TS-015	23 °C	T2	2	PD	Vanrija humicola	0.7561875	0.7434375	0.7624375	Vanrija	Environmental
TS-015	23 °C	T3	3	PD	Vanrija humicola	0.9836875	0.9761875	0.9941875	Vanrija	Environmental
TS-015	23 °C	T4	4	PD	Vanrija humicola	1.0826875	1.0524375	1.1564375	Vanrija	Environmental
TS-015	23 °C	T5	5	PD	Vanrija humicola	1.2165625	1.1988125	1.2538125	Vanrija	Environmental
TS-015	23 °C	T6	6	PD	Vanrija humicola	1.2640625	1.2500625	1.2940625	Vanrija	Environmental
TS-015	23 °C	T7	7	PD	Vanrija humicola	1.3050625	1.2915625	1.3165625	Vanrija	Environmental
TS-015	28 °C	T0	0	PD	Vanrija humicola	0.0019375	0.0001875	0.0051875	Vanrija	Environmental
TS-015	28 °C	T1	1	PD	Vanrija humicola	0.214375	0.136875	0.313875	Vanrija	Environmental
TS-015	28 °C	T2	2	PD	Vanrija humicola	1.151625	1.114375	1.189375	Vanrija	Environmental
TS-015	28 °C	T3	3	PD	Vanrija humicola	1.2805625	1.2528125	1.2988125	Vanrija	Environmental
TS-015	28 °C	T4	4	PD	Vanrija humicola	1.2678125	1.2530625	1.2800625	Vanrija	Environmental
TS-015	28 °C	T5	5	PD	Vanrija humicola	1.124125	0.776375	1.260375	Vanrija	Environmental
TS-015	28 °C	T6	6	PD	Vanrija humicola	1.26475	1.1955	1.4445	Vanrija	Environmental
TS-015	28 °C	T7	7	PD	Vanrija humicola	1.2755625	1.1313125	1.5433125	Vanrija	Environmental
TS-015	33 °C	T0	0	PD	Vanrija humicola	0.0011875	-0.0005625	0.0034375	Vanrija	Environmental
TS-015	33 °C	T1	1	PD	Vanrija humicola	0.0351875	0.0251875	0.0411875	Vanrija	Environmental
TS-015	33 °C	T2	2	PD	Vanrija humicola	0.5103125	0.4475625	0.5915625	Vanrija	Environmental
TS-015	33 °C	T3	3	PD	Vanrija humicola	0.503	0.07975	0.72575	Vanrija	Environmental
TS-015	33 °C	T4	4	PD	Vanrija humicola	0.55475	0.24125	0.67625	Vanrija	Environmental
TS-015	33 °C	T5	5	PD	Vanrija humicola	0.65575	0.34925	0.82225	Vanrija	Environmental
TS-015	33 °C	T6	6	PD	Vanrija humicola	0.6450625	0.0545625	0.9945625	Vanrija	Environmental
TS-015	33 °C	T7	7	PD	Vanrija humicola	0.6691875	0.0534375	1.0074375	Vanrija	Environmental
TS-015	37 °C	T0	0	PD	Vanrija humicola	0	-0.0013125	0.0026875	Vanrija	Environmental
TS-015	37 °C	T1	1	PD	Vanrija humicola	0.0118125	-0.0044375	0.0225625	Vanrija	Environmental
TS-015	37 °C	T2	2	PD	Vanrija humicola	0.0084375	-0.0140625	0.0259375	Vanrija	Environmental
TS-015	37 °C	T3	3	PD	Vanrija humicola	0.0125625	-0.0084375	0.0305625	Vanrija	Environmental
TS-015	37 °C	T4	4	PD	Vanrija humicola	0.0081875	-0.0070625	0.0239375	Vanrija	Environmental
TS-015	37 °C	T5	5	PD	Vanrija humicola	0.0128125	-0.0066875	0.0253125	Vanrija	Environmental
TS-015	37 °C	T6	6	PD	Vanrija humicola	0.0355625	-0.0076875	0.0693125	Vanrija	Environmental
TS-015	37 °C	T7	7	PD	Vanrija humicola	0.026625	-0.003125	0.051875	Vanrija	Environmental
TS-020	18 °C	T0	0	PD	Vanrija humicola	0	-0.0025	0.0005	Vanrija	Environmental
TS-020	18 °C	T1	1	PD	Vanrija humicola	0.003875	0.002125	0.006125	Vanrija	Environmental
TS-020	18 °C	T2	2	PD	Vanrija humicola	0.1770625	0.1640625	0.2080625	Vanrija	Environmental
TS-020	18 °C	T3	3	PD	Vanrija humicola	0.638625	0.512875	0.944875	Vanrija	Environmental
TS-020	18 °C	T4	4	PD	Vanrija humicola	0.854125	0.760375	1.006375	Vanrija	Environmental
TS-020	18 °C	T5	5	PD	Vanrija humicola	0.9886875	0.9594375	1.0264375	Vanrija	Environmental
TS-020	18 °C	T6	6	PD	Vanrija humicola	1.020875	0.993125	1.049125	Vanrija	Environmental
TS-020	18 °C	T7	7	PD	Vanrija humicola	1.03375	1.021	1.061	Vanrija	Environmental
TS-020	23 °C	T0	0	PD	Vanrija humicola	0.0103125	0.0090625	0.0120625	Vanrija	Environmental
TS-020	23 °C	T1	1	PD	Vanrija humicola	0.063375	0.051625	0.081625	Vanrija	Environmental
TS-020	23 °C	T2	2	PD	Vanrija humicola	0.8131875	0.7904375	0.8484375	Vanrija	Environmental
TS-020	23 °C	T3	3	PD	Vanrija humicola	0.8216875	0.7831875	0.8441875	Vanrija	Environmental
TS-020	23 °C	T4	4	PD	Vanrija humicola	0.8654375	0.8274375	0.8824375	Vanrija	Environmental
TS-020	23 °C	T5	5	PD	Vanrija humicola	0.9103125	0.8758125	0.9338125	Vanrija	Environmental
TS-020	23 °C	T6	6	PD	Vanrija humicola	0.9600625	0.9440625	0.9880625	Vanrija	Environmental
TS-020	23 °C	T7	7	PD	Vanrija humicola	0.9885625	0.9615625	1.0145625	Vanrija	Environmental
TS-020	28 °C	T0	0	PD	Vanrija humicola	0.0006875	-0.0018125	0.0041875	Vanrija	Environmental
TS-020	28 °C	T1	1	PD	Vanrija humicola	0.161625	0.151875	0.183875	Vanrija	Environmental
TS-020	28 °C	T2	2	PD	Vanrija humicola	0.981625	0.742375	1.130375	Vanrija	Environmental
TS-020	28 °C	T3	3	PD	Vanrija humicola	0.8758125	0.5508125	1.1388125	Vanrija	Environmental
TS-020	28 °C	T4	4	PD	Vanrija humicola	0.9285625	0.8100625	1.0280625	Vanrija	Environmental
TS-020	28 °C	T5	5	PD	Vanrija humicola	0.758125	0.558375	0.957375	Vanrija	Environmental
TS-020	28 °C	T6	6	PD	Vanrija humicola	1.0235	0.9625	1.0775	Vanrija	Environmental
TS-020	28 °C	T7	7	PD	Vanrija humicola	1.0820625	1.0403125	1.1213125	Vanrija	Environmental
TS-020	33 °C	T0	0	PD	Vanrija humicola	0	-0.0065625	0.0024375	Vanrija	Environmental
TS-020	33 °C	T1	1	PD	Vanrija humicola	0.0684375	0.0441875	0.0911875	Vanrija	Environmental
TS-020	33 °C	T2	2	PD	Vanrija humicola	0.6793125	0.4695625	1.0625625	Vanrija	Environmental
TS-020	33 °C	T3	3	PD	Vanrija humicola	0.77175	0.73175	0.79575	Vanrija	Environmental
TS-020	33 °C	T4	4	PD	Vanrija humicola	0.75825	0.65025	0.85125	Vanrija	Environmental
TS-020	33 °C	T5	5	PD	Vanrija humicola	0.89175	0.42225	1.22125	Vanrija	Environmental
TS-020	33 °C	T6	6	PD	Vanrija humicola	0.8303125	0.5015625	1.1085625	Vanrija	Environmental
TS-020	33 °C	T7	7	PD	Vanrija humicola	0.8789375	0.3744375	1.2874375	Vanrija	Environmental
TS-020	37 °C	T0	0	PD	Vanrija humicola	0	-0.0043125	-0.0003125	Vanrija	Environmental
TS-020	37 °C	T1	1	PD	Vanrija humicola	0	-0.0214375	0.0125625	Vanrija	Environmental
TS-020	37 °C	T2	2	PD	Vanrija humicola	0	-0.0460625	-0.0070625	Vanrija	Environmental
TS-020	37 °C	T3	3	PD	Vanrija humicola	0	-0.0114375	0.0165625	Vanrija	Environmental
TS-020	37 °C	T4	4	PD	Vanrija humicola	0	-0.0270625	0.0199375	Vanrija	Environmental
TS-020	37 °C	T5	5	PD	Vanrija humicola	0.0040625	-0.0146875	0.0213125	Vanrija	Environmental
TS-020	37 °C	T6	6	PD	Vanrija humicola	0	-0.0146875	-0.0076875	Vanrija	Environmental
TS-020	37 °C	T7	7	PD	Vanrija humicola	0	-0.020125	-0.007125	Vanrija	Environmental
TS-027	18 °C	T0	0	PD	Apiotrichum porosum	0	-0.0045	0.0025	Apiotrichum	Environmental
TS-027	18 °C	T1	1	PD	Apiotrichum porosum	0.052875	0.032875	0.063875	Apiotrichum	Environmental
TS-027	18 °C	T2	2	PD	Apiotrichum porosum	0.225875	0.184875	0.244875	Apiotrichum	Environmental
TS-027	18 °C	T3	3	PD	Apiotrichum porosum	0.294	0.24925	0.31325	Apiotrichum	Environmental
TS-027	18 °C	T4	4	PD	Apiotrichum porosum	0.326875	0.274375	0.357375	Apiotrichum	Environmental
TS-027	18 °C	T5	5	PD	Apiotrichum porosum	0.3418125	0.2913125	0.3763125	Apiotrichum	Environmental
TS-027	18 °C	T6	6	PD	Apiotrichum porosum	0.344125	0.331875	0.357875	Apiotrichum	Environmental
TS-027	18 °C	T7	7	PD	Apiotrichum porosum	0.358875	0.303625	0.403625	Apiotrichum	Environmental
TS-027	23 °C	T0	0	PD	Apiotrichum porosum	0.054125	0.018125	0.078125	Apiotrichum	Environmental
TS-027	23 °C	T1	1	PD	Apiotrichum porosum	0.0716875	0.0539375	0.0879375	Apiotrichum	Environmental
TS-027	23 °C	T2	2	PD	Apiotrichum porosum	0.198625	0.177125	0.215125	Apiotrichum	Environmental
TS-027	23 °C	T3	3	PD	Apiotrichum porosum	0.2429375	0.2099375	0.2639375	Apiotrichum	Environmental
TS-027	23 °C	T4	4	PD	Apiotrichum porosum	0.26975	0.2255	0.3205	Apiotrichum	Environmental
TS-027	23 °C	T5	5	PD	Apiotrichum porosum	0.2831875	0.2374375	0.3444375	Apiotrichum	Environmental
TS-027	23 °C	T6	6	PD	Apiotrichum porosum	0.29625	0.259	0.357	Apiotrichum	Environmental
TS-027	23 °C	T7	7	PD	Apiotrichum porosum	0.3165625	0.2945625	0.3725625	Apiotrichum	Environmental
TS-027	28 °C	T0	0	PD	Apiotrichum porosum	0	-0.0035625	0.0004375	Apiotrichum	Environmental
TS-027	28 °C	T1	1	PD	Apiotrichum porosum	0.0134375	0.0071875	0.0171875	Apiotrichum	Environmental
TS-027	28 °C	T2	2	PD	Apiotrichum porosum	0.0538125	0.0295625	0.0775625	Apiotrichum	Environmental
TS-027	28 °C	T3	3	PD	Apiotrichum porosum	0.1075625	0.0413125	0.2053125	Apiotrichum	Environmental
TS-027	28 °C	T4	4	PD	Apiotrichum porosum	0.1629375	0.0986875	0.2436875	Apiotrichum	Environmental
TS-027	28 °C	T5	5	PD	Apiotrichum porosum	0.1703125	0.0633125	0.2603125	Apiotrichum	Environmental
TS-027	28 °C	T6	6	PD	Apiotrichum porosum	0.1709375	0.0826875	0.3026875	Apiotrichum	Environmental
TS-027	28 °C	T7	7	PD	Apiotrichum porosum	0.219375	0.112625	0.380625	Apiotrichum	Environmental
TS-027	33 °C	T0	0	PD	Apiotrichum porosum	0	-0.01375	-0.00175	Apiotrichum	Environmental
TS-027	33 °C	T1	1	PD	Apiotrichum porosum	0	-0.0429375	-0.0129375	Apiotrichum	Environmental
TS-027	33 °C	T2	2	PD	Apiotrichum porosum	0	-0.0434375	-0.0074375	Apiotrichum	Environmental
TS-027	33 °C	T3	3	PD	Apiotrichum porosum	0	-0.0461875	-0.0021875	Apiotrichum	Environmental
TS-027	33 °C	T4	4	PD	Apiotrichum porosum	0	-0.0445625	-0.0065625	Apiotrichum	Environmental
TS-027	33 °C	T5	5	PD	Apiotrichum porosum	0	-0.0465625	-0.0055625	Apiotrichum	Environmental
TS-027	33 °C	T6	6	PD	Apiotrichum porosum	0	-0.050375	-0.010375	Apiotrichum	Environmental
TS-027	33 °C	T7	7	PD	Apiotrichum porosum	0	-0.0506875	-0.0006875	Apiotrichum	Environmental
TS-027	37 °C	T0	0	PD	Apiotrichum porosum	0.0068125	-0.0029375	0.0170625	Apiotrichum	Environmental
TS-027	37 °C	T1	1	PD	Apiotrichum porosum	0.024125	-0.002875	0.048125	Apiotrichum	Environmental
TS-027	37 °C	T2	2	PD	Apiotrichum porosum	0.0144375	-0.0148125	0.0351875	Apiotrichum	Environmental
TS-027	37 °C	T3	3	PD	Apiotrichum porosum	0.0128125	-0.0019375	0.0220625	Apiotrichum	Environmental
TS-027	37 °C	T4	4	PD	Apiotrichum porosum	0	-0.0134375	0.0065625	Apiotrichum	Environmental
TS-027	37 °C	T5	5	PD	Apiotrichum porosum	0.0066875	-0.0103125	0.0156875	Apiotrichum	Environmental
TS-027	37 °C	T6	6	PD	Apiotrichum porosum	0.011625	-0.001875	0.027125	Apiotrichum	Environmental
TS-027	37 °C	T7	7	PD	Apiotrichum porosum	0.01	0.002	0.024	Apiotrichum	Environmental
TS-038	18 °C	T0	0	PD	Apiotrichum porosum	0.002	-0.0005	0.0055	Apiotrichum	Environmental
TS-038	18 °C	T1	1	PD	Apiotrichum porosum	0.088625	0.072875	0.101875	Apiotrichum	Environmental
TS-038	18 °C	T2	2	PD	Apiotrichum porosum	0.377875	0.211875	0.519875	Apiotrichum	Environmental
TS-038	18 °C	T3	3	PD	Apiotrichum porosum	0.547	0.32125	0.71425	Apiotrichum	Environmental
TS-038	18 °C	T4	4	PD	Apiotrichum porosum	0.605875	0.393375	0.777375	Apiotrichum	Environmental
TS-038	18 °C	T5	5	PD	Apiotrichum porosum	0.6505625	0.4413125	0.8193125	Apiotrichum	Environmental
TS-038	18 °C	T6	6	PD	Apiotrichum porosum	0.726125	0.518875	0.850875	Apiotrichum	Environmental
TS-038	18 °C	T7	7	PD	Apiotrichum porosum	0.710625	0.515625	0.876625	Apiotrichum	Environmental
TS-038	23 °C	T0	0	PD	Apiotrichum porosum	0.036375	0.004125	0.066125	Apiotrichum	Environmental
TS-038	23 °C	T1	1	PD	Apiotrichum porosum	0.0854375	0.0759375	0.0949375	Apiotrichum	Environmental
TS-038	23 °C	T2	2	PD	Apiotrichum porosum	0.335875	0.274125	0.397125	Apiotrichum	Environmental
TS-038	23 °C	T3	3	PD	Apiotrichum porosum	0.4621875	0.4099375	0.5059375	Apiotrichum	Environmental
TS-038	23 °C	T4	4	PD	Apiotrichum porosum	0.58575	0.5335	0.6245	Apiotrichum	Environmental
TS-038	23 °C	T5	5	PD	Apiotrichum porosum	0.6604375	0.6084375	0.7024375	Apiotrichum	Environmental
TS-038	23 °C	T6	6	PD	Apiotrichum porosum	0.749	0.707	0.786	Apiotrichum	Environmental
TS-038	23 °C	T7	7	PD	Apiotrichum porosum	0.8180625	0.8005625	0.8425625	Apiotrichum	Environmental
TS-038	28 °C	T0	0	PD	Apiotrichum porosum	0.0586875	0.0214375	0.0864375	Apiotrichum	Environmental
TS-038	28 °C	T1	1	PD	Apiotrichum porosum	0.0124375	0.0031875	0.0181875	Apiotrichum	Environmental
TS-038	28 °C	T2	2	PD	Apiotrichum porosum	0.0123125	0.0065625	0.0165625	Apiotrichum	Environmental
TS-038	28 °C	T3	3	PD	Apiotrichum porosum	0.0075625	0.0013125	0.0113125	Apiotrichum	Environmental
TS-038	28 °C	T4	4	PD	Apiotrichum porosum	0.0094375	0.0036875	0.0126875	Apiotrichum	Environmental
TS-038	28 °C	T5	5	PD	Apiotrichum porosum	0.0113125	0.0103125	0.0133125	Apiotrichum	Environmental
TS-038	28 °C	T6	6	PD	Apiotrichum porosum	0.0129375	0.0056875	0.0176875	Apiotrichum	Environmental
TS-038	28 °C	T7	7	PD	Apiotrichum porosum	0.015625	-0.015375	0.041625	Apiotrichum	Environmental
TS-038	33 °C	T0	0	PD	Apiotrichum porosum	0	-0.01175	0.02025	Apiotrichum	Environmental
TS-038	33 °C	T1	1	PD	Apiotrichum porosum	0	-0.1029375	0.0080625	Apiotrichum	Environmental
TS-038	33 °C	T2	2	PD	Apiotrichum porosum	0	-0.0784375	-0.0084375	Apiotrichum	Environmental
TS-038	33 °C	T3	3	PD	Apiotrichum porosum	0	-0.1081875	-0.0171875	Apiotrichum	Environmental
TS-038	33 °C	T4	4	PD	Apiotrichum porosum	0	-0.1075625	-0.0135625	Apiotrichum	Environmental
TS-038	33 °C	T5	5	PD	Apiotrichum porosum	0	-0.1025625	-0.0175625	Apiotrichum	Environmental
TS-038	33 °C	T6	6	PD	Apiotrichum porosum	0	-0.109375	-0.035375	Apiotrichum	Environmental
TS-038	33 °C	T7	7	PD	Apiotrichum porosum	0	-0.1126875	-0.0306875	Apiotrichum	Environmental
TS-038	37 °C	T0	0	PD	Apiotrichum porosum	0	-0.0229375	-0.0049375	Apiotrichum	Environmental
TS-038	37 °C	T1	1	PD	Apiotrichum porosum	0.021125	-0.006875	0.046125	Apiotrichum	Environmental
TS-038	37 °C	T2	2	PD	Apiotrichum porosum	0.0144375	-0.0078125	0.0361875	Apiotrichum	Environmental
TS-038	37 °C	T3	3	PD	Apiotrichum porosum	0.0095625	-0.0029375	0.0190625	Apiotrichum	Environmental
TS-038	37 °C	T4	4	PD	Apiotrichum porosum	0	-0.0194375	-0.0064375	Apiotrichum	Environmental
TS-038	37 °C	T5	5	PD	Apiotrichum porosum	0	-0.0163125	-0.0003125	Apiotrichum	Environmental
TS-038	37 °C	T6	6	PD	Apiotrichum porosum	0.004125	-0.007875	0.012125	Apiotrichum	Environmental
TS-038	37 °C	T7	7	PD	Apiotrichum porosum	0	-0.01	0.005	Apiotrichum	Environmental
TS-039	18 °C	T0	0	PD	Cutaneotrichosporon curvatus	0	-0.0045	0.0015	Cutaneotrichosporon	Clinical
TS-039	18 °C	T1	1	PD	Cutaneotrichosporon curvatus	0.023375	0.019875	0.026875	Cutaneotrichosporon	Clinical
TS-039	18 °C	T2	2	PD	Cutaneotrichosporon curvatus	0.144375	0.138875	0.152875	Cutaneotrichosporon	Clinical
TS-039	18 °C	T3	3	PD	Cutaneotrichosporon curvatus	0.2905	0.26425	0.31425	Cutaneotrichosporon	Clinical
TS-039	18 °C	T4	4	PD	Cutaneotrichosporon curvatus	0.446625	0.418375	0.466375	Cutaneotrichosporon	Clinical
TS-039	18 °C	T5	5	PD	Cutaneotrichosporon curvatus	0.5423125	0.5113125	0.5633125	Cutaneotrichosporon	Clinical
TS-039	18 °C	T6	6	PD	Cutaneotrichosporon curvatus	0.604875	0.592875	0.613875	Cutaneotrichosporon	Clinical
TS-039	18 °C	T7	7	PD	Cutaneotrichosporon curvatus	0.653625	0.626625	0.668625	Cutaneotrichosporon	Clinical
TS-039	23 °C	T0	0	PD	Cutaneotrichosporon curvatus	0.030375	-0.006875	0.055125	Cutaneotrichosporon	Clinical
TS-039	23 °C	T1	1	PD	Cutaneotrichosporon curvatus	0.0321875	0.0199375	0.0429375	Cutaneotrichosporon	Clinical
TS-039	23 °C	T2	2	PD	Cutaneotrichosporon curvatus	0.201875	0.181125	0.240125	Cutaneotrichosporon	Clinical
TS-039	23 °C	T3	3	PD	Cutaneotrichosporon curvatus	0.5329375	0.4929375	0.5859375	Cutaneotrichosporon	Clinical
TS-039	23 °C	T4	4	PD	Cutaneotrichosporon curvatus	0.857	0.8035	0.8855	Cutaneotrichosporon	Clinical
TS-039	23 °C	T5	5	PD	Cutaneotrichosporon curvatus	0.9039375	0.8644375	0.9254375	Cutaneotrichosporon	Clinical
TS-039	23 °C	T6	6	PD	Cutaneotrichosporon curvatus	0.9235	0.886	0.943	Cutaneotrichosporon	Clinical
TS-039	23 °C	T7	7	PD	Cutaneotrichosporon curvatus	0.9345625	0.8985625	0.9545625	Cutaneotrichosporon	Clinical
TS-039	28 °C	T0	0	PD	Cutaneotrichosporon curvatus	0.0736875	0.0434375	0.0984375	Cutaneotrichosporon	Clinical
TS-039	28 °C	T1	1	PD	Cutaneotrichosporon curvatus	0.0699375	0.0311875	0.1061875	Cutaneotrichosporon	Clinical
TS-039	28 °C	T2	2	PD	Cutaneotrichosporon curvatus	0.3425625	0.2825625	0.4005625	Cutaneotrichosporon	Clinical
TS-039	28 °C	T3	3	PD	Cutaneotrichosporon curvatus	0.7460625	0.6093125	0.8673125	Cutaneotrichosporon	Clinical
TS-039	28 °C	T4	4	PD	Cutaneotrichosporon curvatus	0.8354375	0.5686875	1.0196875	Cutaneotrichosporon	Clinical
TS-039	28 °C	T5	5	PD	Cutaneotrichosporon curvatus	0.8773125	0.6333125	1.0303125	Cutaneotrichosporon	Clinical
TS-039	28 °C	T6	6	PD	Cutaneotrichosporon curvatus	0.9149375	0.6826875	1.0446875	Cutaneotrichosporon	Clinical
TS-039	28 °C	T7	7	PD	Cutaneotrichosporon curvatus	0.831375	0.772625	0.935625	Cutaneotrichosporon	Clinical
TS-039	33 °C	T0	0	PD	Cutaneotrichosporon curvatus	0	-0.01375	-0.00475	Cutaneotrichosporon	Clinical
TS-039	33 °C	T1	1	PD	Cutaneotrichosporon curvatus	0	-0.1089375	-0.0199375	Cutaneotrichosporon	Clinical
TS-039	33 °C	T2	2	PD	Cutaneotrichosporon curvatus	0	-0.0774375	-0.0314375	Cutaneotrichosporon	Clinical
TS-039	33 °C	T3	3	PD	Cutaneotrichosporon curvatus	0	-0.1051875	-0.0381875	Cutaneotrichosporon	Clinical
TS-039	33 °C	T4	4	PD	Cutaneotrichosporon curvatus	0	-0.1045625	-0.0325625	Cutaneotrichosporon	Clinical
TS-039	33 °C	T5	5	PD	Cutaneotrichosporon curvatus	0	-0.1005625	-0.0345625	Cutaneotrichosporon	Clinical
TS-039	33 °C	T6	6	PD	Cutaneotrichosporon curvatus	0	-0.105375	-0.045375	Cutaneotrichosporon	Clinical
TS-039	33 °C	T7	7	PD	Cutaneotrichosporon curvatus	0	-0.1066875	-0.0416875	Cutaneotrichosporon	Clinical
TS-039	37 °C	T0	0	PD	Cutaneotrichosporon curvatus	0	-0.0299375	-0.0199375	Cutaneotrichosporon	Clinical
TS-039	37 °C	T1	1	PD	Cutaneotrichosporon curvatus	0	-0.018875	0.003125	Cutaneotrichosporon	Clinical
TS-039	37 °C	T2	2	PD	Cutaneotrichosporon curvatus	0	-0.0358125	-0.0158125	Cutaneotrichosporon	Clinical
TS-039	37 °C	T3	3	PD	Cutaneotrichosporon curvatus	0	-0.0179375	-0.0039375	Cutaneotrichosporon	Clinical
TS-039	37 °C	T4	4	PD	Cutaneotrichosporon curvatus	0	-0.0304375	0.0075625	Cutaneotrichosporon	Clinical
TS-039	37 °C	T5	5	PD	Cutaneotrichosporon curvatus	0	-0.0233125	-0.0143125	Cutaneotrichosporon	Clinical
TS-039	37 °C	T6	6	PD	Cutaneotrichosporon curvatus	0	-0.016875	0.014125	Cutaneotrichosporon	Clinical
TS-039	37 °C	T7	7	PD	Cutaneotrichosporon curvatus	0	-0.017	-0.009	Cutaneotrichosporon	Clinical
TS-042	18 °C	T0	0	PD	Cutaneotrichosporon dermatis	0.0408125	0.0240625	0.0540625	Cutaneotrichosporon	Clinical
TS-042	18 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.0393125	0.0343125	0.0463125	Cutaneotrichosporon	Clinical
TS-042	18 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.2123125	0.2063125	0.2233125	Cutaneotrichosporon	Clinical
TS-042	18 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.3730625	0.3595625	0.3855625	Cutaneotrichosporon	Clinical
TS-042	18 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.4979375	0.4864375	0.5174375	Cutaneotrichosporon	Clinical
TS-042	18 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.5821875	0.5731875	0.5911875	Cutaneotrichosporon	Clinical
TS-042	18 °C	T6	6	PD	Cutaneotrichosporon dermatis	0.6505625	0.6408125	0.6558125	Cutaneotrichosporon	Clinical
TS-042	18 °C	T7	7	PD	Cutaneotrichosporon dermatis	0.6995	0.68275	0.71175	Cutaneotrichosporon	Clinical
TS-042	23 °C	T0	0	PD	Cutaneotrichosporon dermatis	0	-0.032125	0.008875	Cutaneotrichosporon	Clinical
TS-042	23 °C	T1	1	PD	Cutaneotrichosporon dermatis	0.0835625	0.0768125	0.0948125	Cutaneotrichosporon	Clinical
TS-042	23 °C	T2	2	PD	Cutaneotrichosporon dermatis	0.263125	0.247375	0.279375	Cutaneotrichosporon	Clinical
TS-042	23 °C	T3	3	PD	Cutaneotrichosporon dermatis	0.3994375	0.3771875	0.4081875	Cutaneotrichosporon	Clinical
TS-042	23 °C	T4	4	PD	Cutaneotrichosporon dermatis	0.519125	0.473125	0.542125	Cutaneotrichosporon	Clinical
TS-042	23 °C	T5	5	PD	Cutaneotrichosporon dermatis	0.5903125	0.5433125	0.6173125	Cutaneotrichosporon	Clinical
