sample	Temp	TimePoint	Day	Medium	Identification	OD	OD_min	OD_max	Genus	Lifestyle
TS-007	18 °C	T3	3	PD	Apiotrichum porosum	0.349875	0.306875	0.385875	Apiotrichum	Environmental
TS-007	18 °C	T4	4	PD	Apiotrichum porosum	0.547125	0.433375	0.671375	Apiotrichum	Environmental
TS-007	18 °C	T5	5	PD	Apiotrichum porosum	0.7101875	0.5984375	0.8524375	Apiotrichum	Environmental
TS-007	18 °C	T6	6	PD	Apiotrichum porosum	0.833125	0.753125	0.955125	Apiotrichum	Environmental
TS-007	18 °C	T7	7	PD	Apiotrichum porosum	0.92925	0.861	1.047	Apiotrichum	Environmental
TS-007	23 °C	T0	0	PD	Apiotrichum porosum	0.0038125	-0.0009375	0.0090625	Apiotrichum	Environmental
TS-007	23 °C	T1	1	PD	Apiotrichum porosum	0.024375	0.014625	0.030625	Apiotrichum	Environmental
TS-007	23 °C	T2	2	PD	Apiotrichum porosum	0.2396875	0.1844375	0.3384375	Apiotrichum	Environmental
TS-007	23 °C	T3	3	PD	Apiotrichum porosum	0.5774375	0.4201875	0.7221875	Apiotrichum	Environmental
TS-007	23 °C	T4	4	PD	Apiotrichum porosum	0.7246875	0.5224375	0.8764375	Apiotrichum	Environmental
TS-007	23 °C	T5	5	PD	Apiotrichum porosum	0.8918125	0.6838125	1.0248125	Apiotrichum	Environmental
TS-007	23 °C	T6	6	PD	Apiotrichum porosum	1.0133125	0.8700625	1.1190625	Apiotrichum	Environmental
TS-007	23 °C	T7	7	PD	Apiotrichum porosum	1.0873125	0.9915625	1.1815625	Apiotrichum	Environmental
TS-007	28 °C	T0	0	PD	Apiotrichum porosum	0	-0.0048125	0.0031875	Apiotrichum	Environmental
TS-007	28 °C	T1	1	PD	Apiotrichum porosum	0.008625	-0.000125	0.026875	Apiotrichum	Environmental
TS-007	28 °C	T2	2	PD	Apiotrichum porosum	0.021125	0.012375	0.030375	Apiotrichum	Environmental
TS-007	28 °C	T3	3	PD	Apiotrichum porosum	0.3865625	0.3128125	0.4568125	Apiotrichum	Environmental
TS-007	28 °C	T4	4	PD	Apiotrichum porosum	0.6078125	0.5670625	0.6460625	Apiotrichum	Environmental
TS-007	28 °C	T5	5	PD	Apiotrichum porosum	0.675875	0.604375	0.754375	Apiotrichum	Environmental
TS-007	28 °C	T6	6	PD	Apiotrichum porosum	0.81375	0.7045	0.9605	Apiotrichum	Environmental
TS-007	28 °C	T7	7	PD	Apiotrichum porosum	0.8485625	0.7243125	1.0293125	Apiotrichum	Environmental
TS-007	33 °C	T0	0	PD	Apiotrichum porosum	0	-0.0055625	0.0024375	Apiotrichum	Environmental
TS-007	33 °C	T1	1	PD	Apiotrichum porosum	0.0049375	-0.0118125	0.0141875	Apiotrichum	Environmental
TS-007	33 °C	T2	2	PD	Apiotrichum porosum	0	-0.0054375	0.0035625	Apiotrichum	Environmental
TS-007	33 °C	T3	3	PD	Apiotrichum porosum	0.009	-0.01625	0.05175	Apiotrichum	Environmental
TS-007	33 °C	T4	4	PD	Apiotrichum porosum	0	-0.01275	0.00925	Apiotrichum	Environmental
TS-007	33 °C	T5	5	PD	Apiotrichum porosum	0.004	-0.00775	0.00825	Apiotrichum	Environmental
TS-007	33 °C	T6	6	PD	Apiotrichum porosum	0.0075625	-0.0034375	0.0175625	Apiotrichum	Environmental
TS-007	33 °C	T7	7	PD	Apiotrichum porosum	0.0189375	0.0004375	0.0474375	Apiotrichum	Environmental
TS-007	37 °C	T0	0	PD	Apiotrichum porosum	0	-0.0043125	0.0016875	Apiotrichum	Environmental
TS-007	37 °C	T1	1	PD	Apiotrichum porosum	0.0073125	-0.0084375	0.0165625	Apiotrichum	Environmental
TS-007	37 °C	T2	2	PD	Apiotrichum porosum	0.0066875	-0.0100625	0.0169375	Apiotrichum	Environmental
TS-007	37 °C	T3	3	PD	Apiotrichum porosum	0.0180625	-0.0074375	0.0445625	Apiotrichum	Environmental
TS-007	37 °C	T4	4	PD	Apiotrichum porosum	0.0151875	-0.0010625	0.0329375	Apiotrichum	Environmental
TS-007	37 °C	T5	5	PD	Apiotrichum porosum	0.0185625	-0.0006875	0.0363125	Apiotrichum	Environmental
TS-007	37 °C	T6	6	PD	Apiotrichum porosum	0.0250625	-0.0016875	0.0443125	Apiotrichum	Environmental
TS-007	37 °C	T7	7	PD	Apiotrichum porosum	0.029875	0.005875	0.050875	Apiotrichum	Environmental
